;length;word_count;has_script;has_on_event;has_alert;has_prompt;has_confirm;has_console;has_javascript;has_vbscript;has_document;has_window;has_inner_html;has_outer_html;has_iframe;has_svg;has_dangerous_js;quote_count;equals_count;sum_count;has_url_encoding;has_html_entities;has_hex_encoding;has_unicode;tag_count;attribute_count;entropy;is_inside_quotes;has_nested_tags
7799;97;13;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;4;2;0;0;0;0;0;4;2;4.498815291951826;1;0
7800;392;57;1;0;1;1;1;1;0;0;1;1;1;1;1;1;1;12;5;0;0;1;0;0;6;5;4.789127323926683;1;0
7801;47;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;2;1;4.150883139953443;0;0
7802;103;15;1;0;1;0;0;0;0;0;0;0;1;0;0;1;1;6;3;0;0;0;0;0;3;3;4.520009932047894;1;0
7803;42;6;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;2;1;4.186860506514696;0;0
7804;65;8;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;2;2;4.0897076754471975;1;0
7805;56;7;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;2;1;4.227971493952705;0;0
7806;45;7;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0;0;0;0;0;1;2;4.305540252212917;0;0
7807;182;29;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;4;3;0;0;0;0;0;4;3;4.779891523150446;1;0
7808;58;7;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;2;1;4.10758369387461;0;0
7809;61;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;3;0;0;0;0;0;1;3;4.3540027561303605;1;0
7810;50;7;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;2;1;4.288367439558376;0;0
7811;121;18;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;6;3;0;0;0;0;0;6;3;4.762207668430711;1;0
7812;1235;189;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;32;29;18;1;1;0;0;17;29;5.3216593432509836;1;0
7813;31;5;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;2;1;4.309035020064295;0;0
7814;43;6;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2;1;4.293030895325341;0;0
7815;61;8;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;2;2;4.1884311910465915;1;0
7816;51;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;4;1;4.520368724282016;0;0
7817;53;7;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;2;1;4.281297162807404;0;0
7818;15;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3.3735572622751855;0;0
7819;220;36;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;8;4;0;0;0;0;0;18;4;4.6678924861662505;1;0
7820;38;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;1;1;4.366091329119191;0;0
7821;92;11;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;4;2;4.360238659082035;1;0
7822;43;6;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;2;1;4.295353348118593;0;0
